zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
17019,STANDARD,0,Dillsburg,,Bermudian-Clear Spring-Siddonsburg,PA,York County,America/New_York,717,NA,US,40.11,-77.03,17660
17020,STANDARD,0,Duncannon,,Cove-Dellville-Perdix-Watts-Wheatfield,PA,Perry County,America/New_York,717,NA,US,40.41,-77.04,8280
17021,STANDARD,0,East Waterford,E Waterford,Ewaterfrd-Ewtrford-Perulack-Scyoc-Spears Grove-Waterloo,PA,Juniata County,America/New_York,717,NA,US,40.36,-77.67,820
17022,STANDARD,0,Elizabethtown,,Aberdeen-Bellaire-Deodate-Elizabthtwn-Etown-West Donegal,PA,Lancaster County,America/New_York,717,NA,US,40.15,-76.59,27440
17023,STANDARD,0,Elizabethville,Elizabethvle,Eville,PA,Dauphin County,America/New_York,717,NA,US,40.58,-76.82,3130
17024,STANDARD,0,Elliottsburg,Green Park,Erly-Greenpark-Little German-Mansville,PA,Perry County,America/New_York,717,NA,US,40.41,-77.31,1890
17025,STANDARD,0,Enola,E Pennsboro-East Pennsboro,South Enola-W Fairview-West Enola-West Fairview,PA,Cumberland County,America/New_York,717,NA,US,40.28,-76.93,16630
17026,STANDARD,0,Fredericksburg,Fredericksbrg,,PA,Lebanon County,America/New_York,717,NA,US,40.45,-76.42,3490
17028,STANDARD,0,Grantville,,Shellsville,PA,Dauphin County,America/New_York,717,NA,US,40.39,-76.68,3320
17029,STANDARD,0,Granville,,Anderson,PA,Mifflin County,America/New_York,,NA,US,40.56,-77.62,310
17030,STANDARD,0,Gratz,,,PA,Dauphin County,America/New_York,717,NA,US,40.6,-76.71,820
17032,STANDARD,0,Halifax,,Carsonville-Enders-Enterline-Fisherville-Inglenook-Mcclellan-Powells Vly-Reed-Waynesville,PA,Dauphin County,America/New_York,717,NA,US,40.46,-76.93,7450
17033,STANDARD,0,Hershey,,Bachmanville-Derry Church-Palmdale-S Londonderry-Sandbeach-Swatara Sta-Union Deposit,PA,Dauphin County,America/New_York,717,NA,US,40.28,-76.64,13740
17034,STANDARD,0,Highspire,,High Spire,PA,Dauphin County,America/New_York,717,NA,US,40.21,-76.79,2410
17035,STANDARD,0,Honey Grove,,Mccullochs Ml-Reeds Gap,PA,Juniata County,America/New_York,717,NA,US,40.42,-77.55,720
17036,STANDARD,0,Hummelstown,,Brownstone-Hoernerstown-South Hanover-Stoverdale-Waltonville,PA,Dauphin County,America/New_York,717,NA,US,40.26,-76.71,22460
17037,STANDARD,0,Ickesburg,,,PA,Perry County,America/New_York,717,NA,US,40.43,-77.42,940
17038,STANDARD,0,Jonestown,,Bordnersville-Green Point-Jonestwn-Mcgillstown,PA,Lebanon County,America/New_York,717,NA,US,40.41,-76.48,7550
17040,STANDARD,0,Landisburg,,Alinda-Landisbg-Lebo,PA,Perry County,America/New_York,717,NA,US,40.34,-77.3,2360
17042,STANDARD,0,Lebanon,Cleona-Colebrook-Cornwall Boro-Cornwall Borough,Avon-Avon Heights-Beverly Hts-Buffalo Sprs-Ebenezer-Flintville-Fontana-Heilmandale-Iona-Leb-Mount Wilson-N Cornwall-North Lebanon-Rocherty,PA,Lebanon County,America/New_York,717,NA,US,40.34,-76.42,34740
17043,STANDARD,0,Lemoyne,Wormleysburg,Washington Ht-Wormleysbg,PA,Cumberland County,America/New_York,717,NA,US,40.24,-76.89,5650
17044,STANDARD,0,Lewistown,,Bratton-Colonial Hill-Hawstone-Horningford-Juniata Terr-Klondyke-Lewistown Jun-Lewistwn-Longfellow-Maitland-Paintersville-Strodes Mills-Vira,PA,Mifflin County,America/New_York,717,NA,US,40.59,-77.57,17680
17045,STANDARD,0,Liverpool,,Mount Patrick-Oriental,PA,Perry County,America/New_York,717,NA,US,40.6,-77,3000
17046,STANDARD,0,Lebanon,Swatara Township-Swatara Twp,,PA,Lebanon County,America/New_York,717,NA,US,40.38,-76.43,28290
