OBJECTID_1,ZIP,NAME,STATE,COUNTYNAME,TotalPopulation,PercentGenZ,PercentMillenial,PercentGenX,PercentBoomer,PercentSilentGen,MedianHouseholdIncome,PercentHispanic,PercentMinority,PercentBelowPoverty,PercentPopGroupLiving,PlaceNames,Cases_1,LabelY,Shape__Area,Shape__Length,Shape_Length,Shape_Area,OBJECTID
1444,34238,SARASOTA,,SARASOTA,,,,,,,,,,,,,18,18,36096915.2200928,33800.8578236786,33800.8580415525,36096915.3757399,1443
1445,34239,SARASOTA,,SARASOTA,,,,,,,,,,,,,21,21,11462647.7929993,15031.1929673733,15031.1924969034,11462647.8284436,1444
1446,34240,SARASOTA,,SARASOTA,,,,,,,,,,,,,<5,-2,187017507.831833,85197.5310222319,85197.5309073089,187017507.995733,1445
1447,34241,SARASOTA,,SARASOTA,,,,,,,,,,,,,<5,-2,233652329.549042,99677.6019453369,99677.6022149058,233652329.453489,1446
1448,34242,SARASOTA,,SARASOTA,,,,,,,,,,,,,5 to 9,-1,14489864.0409393,27123.4637258658,27123.4638516022,14489863.917647,1447
1449,34243,SARASOTA,,SARASOTA,,,,,,,,,,,,,5 to 9,-1,9474042.7537384,32105.4039411857,32105.4037904463,9474042.80866662,1448
1450,34251,MYAKKA CITY,,SARASOTA,,,,,,,,,,,,,0,0,65981924.5882111,78808.3678404713,78808.3674572654,65981924.7218527,1449
1451,34266,ARCADIA,,SARASOTA,,,,,,,,,,,,,0,0,159396078.391541,60682.1702905638,60682.1700138143,159396078.483313,1450
1452,34269,ARCADIA,,SARASOTA,,,,,,,,,,,,,0,0,19486048.9197998,36769.3410660607,36769.3410063726,19486049.4021243,1451
1453,34275,NOKOMIS,,SARASOTA,,,,,,,,,,,,,5 to 9,-1,78138919.5943298,73815.89518718,73815.8957388038,78138919.5916111,1452
1454,34285,VENICE,,SARASOTA,,,,,,,,,,,,,5 to 9,-1,23563541.2579346,31153.3404011505,31153.3402169502,23563541.2873839,1453
1455,34286,NORTH PORT,,SARASOTA,,,,,,,,,,,,,5 to 9,-1,39015958.9307098,32922.1162688696,32922.1155445744,39015958.7646229,1454
1456,34287,NORTH PORT,,SARASOTA,,,,,,,,,,,,,13,13,50250554.0183868,36214.9286231618,36214.9286287979,50250554.0197808,1455
1457,34288,NORTH PORT,,SARASOTA,,,,,,,,,,,,,5 to 9,-1,47306508.1276703,43132.1819314882,43132.1819802026,47306507.9831439,1456
1458,34289,NORTH PORT,,SARASOTA,,,,,,,,,,,,,0,0,15604802.3003235,23257.1665457516,23257.1662910939,15604802.3264371,1457
1459,34291,NORTH PORT,,SARASOTA,,,,,,,,,,,,,<5,-2,71315908.1226044,52197.165195159,52197.1651013393,71315908.0205535,1458
1460,34292,VENICE,,SARASOTA,,,,,,,,,,,,,5 to 9,-1,92061980.3533936,67141.7089576718,67141.7091891539,92061980.440292,1459
1461,34293,VENICE,,SARASOTA,,,,,,,,,,,,,21,21,94774193.5475464,72333.1089553506,72333.1089720544,94774193.5422149,1460
1462,33852,LAKE PLACID,,DESOTO,,,,,,,,,,,,,0,0,1438.53733825684,346.876674699591,346.87663794655,1438.54124053213,1461
1463,33865,ONA,,DESOTO,,,,,,,,,,,,,0,0,53628312.5661163,58989.6169000861,58989.6172675139,53628312.8049309,1462
1464,33890,ZOLFO SPRINGS,,DESOTO,,,,,,,,,,,,,0,0,91054672.7349091,67876.1227972168,67876.1226783523,91054672.3857708,1463
1465,33960,VENUS,,DESOTO,,,,,,,,,,,,,0,0,10183.0406036377,4362.84485560132,4362.84492823752,10183.1055415691,1464
1466,33982,PUNTA GORDA,,DESOTO,,,,,,,,,,,,,0,0,1290445.81781006,44174.8544238945,44174.8541777342,1290445.71600538,1465
1467,34251,MYAKKA CITY,,DESOTO,,,,,,,,,,,,,0,0,204703.87701416,12712.1454580914,12712.1453642956,204703.842235009,1466
1468,34266,ARCADIA,,DESOTO,,,,,,,,,,,,,17,17,1292845502.91829,199606.682675559,199606.683105535,1292845502.27865,1467
1469,34267,FORT OGDEN,,DESOTO,,,,,,,,,,,,,0,0,116432.705932617,2168.1996526802,2168.1996577019,116432.664474093,1468
1470,34269,ARCADIA,,DESOTO,,,,,,,,,,,,,5 to 9,-1,215762230.543564,85152.4369009784,85152.4365980135,215762230.727926,1469
1471,34288,NORTH PORT,,DESOTO,,,,,,,,,,,,,0,0,13807.7036132812,577.937404151665,577.937386399707,13807.6975734955,1470
1472,32080,SAINT AUGUSTINE,,FLAGLER,,,,,,,,,,,,,0,0,146201.932098389,2750.71294019904,2750.71291960876,146201.948887915,1471
1473,32086,SAINT AUGUSTINE,,FLAGLER,,,,,,,,,,,,,0,0,1157442.6428833,8342.58653536235,8342.58642733306,1157442.66197006,1472
1474,32110,BUNNELL,,FLAGLER,,,,,,,,,,,,,<5,-2,689641863.488647,188455.699549779,188455.699195258,689641863.941897,1473
1475,32112,CRESCENT CITY,,FLAGLER,,,,,,,,,,,,,0,0,26891210.9736023,40426.9921441707,40426.9922083424,26891210.8830058,1474
1476,32131,EAST PALATKA,,FLAGLER,,,,,,,,,,,,,0,0,5255115.00650024,11203.4896383621,11203.489460632,5255114.97532823,1475
1477,32136,FLAGLER BEACH,,FLAGLER,,,,,,,,,,,,,<5,-2,39883703.2286377,66712.2396662676,66712.2396546236,39883703.6072625,1476
1478,32137,PALM COAST,,FLAGLER,,,,,,,,,,,,,17,17,158410935.218781,117682.260117375,117682.260152082,158410935.496819,1477
1479,32145,HASTINGS,,FLAGLER,,,,,,,,,,,,,0,0,132580926.083954,74307.1485547262,74307.1483050737,132580925.341317,1478
1480,32164,PALM COAST,,FLAGLER,,,,,,,,,,,,,20,20,87208223.9217834,61532.1718943893,61532.1716328431,87208223.6666664,1479
1481,32174,ORMOND BEACH,,FLAGLER,,,,,,,,,,,,,0,0,110058767.445526,75135.5855514395,75135.5859391573,110058767.741175,1480
1482,32180,PIERSON,,FLAGLER,,,,,,,,,,,,,0,0,21286480.7798767,32704.1748035279,32704.174630663,21286480.5715181,1481
1483,32187,SAN MATEO,,FLAGLER,,,,,,,,,,,,,0,0,20508554.5064087,28961.699439867,28961.6992910641,20508554.6611891,1482
1484,32190,SEVILLE,,FLAGLER,,,,,,,,,,,,,0,0,1725621.07418823,10677.8749262163,10677.8747281584,1725621.04134927,1483
1485,33440,CLEWISTON,,HENDRY,,,,,,,,,,,,,22,22,2030312707.81625,238408.837575846,238408.838566798,2030312707.81113,1484
1486,33471,MOORE HAVEN,,HENDRY,,,,,,,,,,,,,0,0,60764107.5988617,98928.9254234626,98928.9258919724,60764107.984571,1485
1487,334MH,,,HENDRY,,,,,,,,,,,,,0,0,181792.990081787,31708.9928851178,31708.9928758477,181792.859979646,1486
1488,334MX,,,HENDRY,,,,,,,,,,,,,0,0,423155.846420288,36375.5083519728,36375.5081706512,423155.868791848,1487
